college_name,state,stream,ug_fee,pg_fee,rating,academic_score,placement_score,source,city,college_type
Indian Institute Of Technology Madras,Tamil Nadu,Engineering,"75,116","23,070",8.7,9,8.8,college_data,,
"College Of Engineering, Anna University",Tamil Nadu,Engineering,"50,000","50,000",8.4,8.7,8.3,college_data,,
"Nit Trichy, Tiruchirappalli",Tamil Nadu,Engineering,"1,49,250","99,250",8.5,8.6,8.8,college_data,,
Vellore Institute Of Technology,Tamil Nadu,Engineering,"1,98,000","1,83,000",8.3,8.3,8.5,college_data,,
"Srm Engineering College, Kanchipuram",Tamil Nadu,Engineering,"2,60,000","1,70,000",7.2,6.5,7.1,college_data,,
Ssn College Of Engineering,Tamil Nadu,Engineering,"50,000","50,000",8.6,8.9,8.3,college_data,,
"Sastra University, Thanjavur",Tamil Nadu,Engineering,"1,67,000","1,57,000",8.1,8.5,8.7,college_data,,
P.S.G College Of Technology,Tamil Nadu,Engineering,"87,000","1,54,000",9,9.2,9.1,college_data,,
Thiagarajar College Of Engineering,Tamil Nadu,Engineering,"50,000","50,000",8.6,8.9,8.7,college_data,,
Coimbatore Institute Of Technology,Tamil Nadu,Engineering,"23,670","1,32,710",8,8.5,8.4,college_data,,
Karunya Institute Of Technology And Sciences,Tamil Nadu,Engineering,"2,13,500","1,21,500",7.9,7.9,7.5,college_data,,
Kumaraguru College Of Technology,Tamil Nadu,Engineering,"50,000","50,000",8.2,8.3,7.9,college_data,,
"Vel Tech, Chennai",Tamil Nadu,Engineering,"50,000",--,8.2,8.5,8.3,college_data,,
"Mepco Schlenk Engineering College, Sivakasi",Tamil Nadu,Engineering,"1,34,000","1,04,150",8.1,8.5,7.9,college_data,,
Government College Of Technology,Tamil Nadu,Engineering,"9,180","10,110",8.1,8.4,8,college_data,,
Hindustan Institute Of Technology And Science,Tamil Nadu,Engineering,"2,29,500","1,25,500",7.6,7.8,6.9,college_data,,
Sri Krishna College Of Engineering And Technology,Tamil Nadu,Engineering,"50,000","50,000",8.1,8.2,8.2,college_data,,
Kongu Engineering College,Tamil Nadu,Engineering,"60,000","65,000",8.3,8.3,8.3,college_data,,
Bannari Amman Institute Of Technology,Tamil Nadu,Engineering,"60,000","35,000",8.3,8.2,8.1,college_data,,
"Sona College Of Technology, Salem",Tamil Nadu,Engineering,"2,00,000","2,29,000",8.1,8.5,7.9,college_data,,
Tamil Nadu Veterinary And Animal Sciences University,Tamil Nadu,Engineering,"21,415","33,325",8.3,8.4,8.2,college_data,,
"St. Joseph College Of Engineering, Kanchipuram",Tamil Nadu,Engineering,"60,000","65,000",8,7,8,college_data,,
Saveetha Engineering College,Tamil Nadu,Engineering,"85,000","60,000",8,8.1,7.7,college_data,,
"Sri Sairam Engineering College, Chennai",Tamil Nadu,Engineering,"50,000","25,000",7.7,8.4,7.9,college_data,,
B.S. Abdur Rahman Crescent Institute Of Science,Tamil Nadu,Engineering,"85,000","40,000",8.2,8.4,7.7,college_data,,
Sri Ramakrishna Engineering College,Tamil Nadu,Engineering,"55,000","60,000",8.1,8.4,8.3,college_data,,
Rajalakshmi Engineering College,Tamil Nadu,Engineering,"50,000","50,000",7.8,8.1,8.3,college_data,,
Sri Venkateswara College Of Engineering,Tamil Nadu,Engineering,"65,000","60,000",8.2,8.4,8.1,college_data,,
Iit Bombay,Maharashtra,Engineering,"2,28,000","32,000",8.9,9.3,9.1,college_data,,
Institute Of Chemical Technology,Maharashtra,Engineering,"85,350","70,750",8.7,9.1,8.4,college_data,,
Visvesvaraya National Institute Of Technology,Maharashtra,Engineering,"1,49,200","93,600",8.1,8.3,7.7,college_data,,
College Of Engineering,Maharashtra,Engineering,"40,500","64,500",8.6,8.7,8.7,college_data,,
Defence Institute Of Advanced Technology,Maharashtra,Engineering,"1,53,600","45,000",8.8,9,8.6,college_data,,
National Institute Of Industrial Engineering,Maharashtra,Engineering,"5,98,000","1,04,000",9,9,9.3,college_data,,
Army Institute Of Technology,Maharashtra,Engineering,"1,80,197","1,20,560",8.3,8,8.7,college_data,,
Bharati Vidyapeeth Deemed University,Maharashtra,Engineering,"1,20,000","50,000",7.8,8.1,7.7,college_data,,
Veermata Jijabai Technological Institute,Maharashtra,Engineering,"84,051","83,734",7.9,8.2,8.7,college_data,,
Gh Raisoni College Of Engineering,Maharashtra,Engineering,"5,60,000","1,32,000",8.4,8.5,8,college_data,,
Mukesh Patel School Of Technology Management And,Maharashtra,Engineering,"4,52,000","5,01,500",8.2,8.1,8.1,college_data,,
Sardar Patel Institute Of Technology,Maharashtra,Engineering,"1,70,000","1,68,000",8.1,8.4,9.1,college_data,,
Shri Ramdeobaba College Of Engineering And Management,Maharashtra,Engineering,"1,45,000","1,25,000",8.1,8.3,8.3,college_data,,
Rashtrasant Tukadoji Maharaj Nagpur University,Maharashtra,Engineering,"33,600","60,000",7.5,8,6.9,college_data,,
Yeshwantrao Chavan College Of Engineering,Maharashtra,Engineering,"1,51,801","1,53,328",7.6,7.7,7.2,college_data,,
Walchand College Of Engineering,Maharashtra,Engineering,"84,935","96,550",8.3,8.4,8.8,college_data,,
Mit World Peace University,Maharashtra,Engineering,"3,10,000","1,90,000",8,8.1,7.7,college_data,,
Vishwakarma Institute Of Information Technology,Maharashtra,Engineering,"1,64,000","78,000",7.8,8.2,8,college_data,,
Ramrao Adik Institute Of Technology,Maharashtra,Engineering,"3,25,000","1,50,000",8.6,8.2,8.7,college_data,,
Sardar Patel College Of Engineering,Maharashtra,Engineering,"1,70,000","1,68,000",8,8.3,8.1,college_data,,
K. J. Somaiya College Of Engineering,Maharashtra,Engineering,"2,86,000","1,96,800",8.2,8.2,8,college_data,,
Pimpri Chinchwad College Of Engineering,Maharashtra,Engineering,"1,38,559","1,07,687",8.1,8.7,8.6,college_data,,
"Mksss'S Cummins College Of Engineering For Women,",Maharashtra,Engineering,"1,80,836","1,55,200",8.3,8.3,9,college_data,,
Dwarkadas J Sanghvi College Of Engineering,Maharashtra,Engineering,"1,94,000","1,39,000",8.2,8.2,8.3,college_data,,
Thakur College Of Engineering And Technology,Maharashtra,Engineering,"1,47,500","1,36,931",8.2,8.1,7.9,college_data,,
Svkm'S Narsee Monjee Institute Of Management Studies,Maharashtra,Engineering,"3,02,000",--,8.2,8.5,8.3,college_data,,
"Amity University, Mumbai",Maharashtra,Engineering,"2,22,000","1,50,000",8.1,7.9,7.8,college_data,,
"Vishwakarma Institute Of Technology, Pune",Maharashtra,Engineering,"1,79,895","88,765",7.5,8.1,7.8,college_data,,
Indian Institute Of Information Technology,Maharashtra,Engineering,"2,34,500","1,00,500",7.8,8.2,8.4,college_data,,
Tata Institute Of Social Sciences,Maharashtra,Engineering,--,--,8.6,9,8.4,college_data,,
Indian Institute Of Technology,Uttar Pradesh,Engineering,"2,15,600","2,14,050",8.9,9.1,8.9,college_data,,
"Amity University, Noida",Uttar Pradesh,Engineering,"3,11,000","1,40,000",8.2,8,7.6,college_data,,
