name_of_company,college_name,region,year,source,salary
Zeus,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Aditya Birla,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Capgemini,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Cmclimited,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Emco,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Gg,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Godrej,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Infosys,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Hexaware,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Kpit,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Landt,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Nielsen,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Oracle,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Orange,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Persistent,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Punjlloyd,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Quinnox,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Reliance,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Syntel,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Testfunds,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Accenture,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Essential,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Greaves,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Infrasofttech,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Lalit,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Mahindra,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Mastek,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Nseit,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Patni,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Qualitykiosk,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Sterling,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Tcs,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Vistaar,Pillai College of Engineering,Navi Mumbai,2018.0,placement_companies.csv,
Aakash Institute,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Accenture Services Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Accionlabs,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Accolite,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Agr Knowledge Services Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Ahdityaa Enterprises,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Aker Solutions,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
All Cargo Logistics,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Amdocs Development Centre India Pvt.Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Ariston Capital Services Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Armaco Chemical Process Systems Pvt. Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Atidan Technologies Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Atos India Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Avalon Global Research,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Bank Of America,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Barclays,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Bharti Airtel Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Blue Star Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Bookmyshow,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Bosch Ltd,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Build Track,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Capegemini India,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Cartesian Consulting,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Cex Webuy Entertainment Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Cimpress India Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Coffee Day Beverages,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Colgate,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Computer Sciences Corporation Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Cybermarine Knowledge Systems Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Daikin Air Conditioning,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Diebold Systems Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Directi,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Dolat Capital,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Dolphin Rfid Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Dumbelled,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Dynalog Enterprises,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Eduisfun,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Eleation,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Emerson Network Power,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Endurance International Group,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Ernst & Young,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Express Global Logistics Pvt. Ltd.,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Express Roadways Pvt.Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
First Quadrant Solutions,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Force Motors,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Fractal Analytics,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Friction Innovative Education,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Future Generali India Life Insurance Company Limited,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Gep,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
Germin8,K. J. Somaiya College of Engineering,Mumbai,2018.0,placement_companies.csv,
