job_title,education_level,years_experience,salary,country,company,location,job_roles
Software Engineer,1.0,5.0,90000.0,UK,,,
Data Analyst,2.0,3.0,65000.0,USA,,,
Manager,3.0,15.0,150000.0,Canada,,,
Sales Associate,1.0,7.0,60000.0,USA,,,
Director,2.0,20.0,200000.0,USA,,,
Marketing Analyst,1.0,2.0,55000.0,USA,,,
Product Manager,2.0,12.0,120000.0,USA,,,
Sales Manager,1.0,4.0,80000.0,China,,,
Marketing Coordinator,1.0,1.0,45000.0,China,,,
Scientist,3.0,10.0,110000.0,Australia,,,
Software Developer,2.0,3.0,75000.0,UK,,,
Hr Manager,1.0,18.0,140000.0,UK,,,
Financial Analyst,1.0,6.0,65000.0,China,,,
Project Manager,2.0,14.0,130000.0,USA,,,
Customer Service Rep,1.0,2.0,40000.0,Canada,,,
Operations Manager,1.0,16.0,125000.0,China,,,
Marketing Manager,2.0,7.0,90000.0,USA,,,
Engineer,3.0,12.0,115000.0,UK,,,
Data Entry Clerk,1.0,0.0,35000.0,UK,,,
Sales Director,1.0,22.0,180000.0,Australia,,,
Business Analyst,2.0,5.0,80000.0,China,,,
Vp Of Operations,2.0,19.0,190000.0,UK,,,
It Support,1.0,2.0,50000.0,UK,,,
Recruiter,1.0,9.0,60000.0,China,,,
Financial Manager,2.0,13.0,140000.0,USA,,,
Social Media Specialist,1.0,3.0,45000.0,Canada,,,
Software Manager,2.0,11.0,110000.0,Australia,,,
Developer,1.0,1.0,40000.0,Australia,,,
Consultant,3.0,15.0,140000.0,Canada,,,
Product Designer,2.0,6.0,90000.0,China,,,
Ceo,1.0,25.0,250000.0,Canada,,,
Accountant,1.0,4.0,55000.0,UK,,,
Data Scientist,2.0,3.0,75000.0,USA,,,
Marketing Specialist,1.0,10.0,65000.0,Canada,,,
Manager,3.0,20.0,170000.0,USA,,,
Technical Writer,1.0,2.0,45000.0,Australia,,,
Hr Generalist,1.0,7.0,60000.0,UK,,,
Project Engineer,2.0,14.0,115000.0,China,,,
Customer Success Rep,1.0,1.0,40000.0,Canada,,,
Sales Executive,1.0,21.0,160000.0,China,,,
Ux Designer,2.0,5.0,80000.0,UK,,,
Operations Director,2.0,18.0,190000.0,Canada,,,
Network Engineer,1.0,3.0,60000.0,China,,,
Administrative Assistant,1.0,8.0,45000.0,UK,,,
Strategy Consultant,2.0,13.0,130000.0,UK,,,
Copywriter,1.0,2.0,40000.0,USA,,,
Account Manager,1.0,5.0,75000.0,Australia,,,
Director Of Marketing,2.0,16.0,180000.0,UK,,,
Scientist,3.0,11.0,120000.0,Australia,,,
Help Desk Analyst,1.0,0.0,35000.0,USA,,,
Customer Service Manager,1.0,22.0,130000.0,China,,,
Business Intelligence Analyst,2.0,7.0,85000.0,Australia,,,
Event Coordinator,1.0,12.0,60000.0,China,,,
Vp Of Finance,2.0,19.0,200000.0,Australia,,,
Graphic Designer,1.0,3.0,50000.0,Canada,,,
Sales Manager,1.0,9.0,95000.0,China,,,
Ux Researcher,2.0,2.0,65000.0,Canada,,,
Engineer,3.0,17.0,140000.0,USA,,,
Social Media Manager,1.0,4.0,55000.0,Canada,,,
Product Manager,2.0,7.0,105000.0,Canada,,,
Director Of Operations,2.0,23.0,170000.0,USA,,,
Marketing Analyst,1.0,3.0,50000.0,China,,,
Hr Manager,1.0,12.0,80000.0,China,,,
Data Scientist,3.0,21.0,180000.0,China,,,
Accountant,1.0,1.0,35000.0,Australia,,,
Digital Marketing Manager,2.0,10.0,90000.0,China,,,
It Manager,1.0,19.0,120000.0,Australia,,,
