scholarship_name,provider,field,state,Gender,Community,Religion,Education Qualification,Income,Annual-Percentage,amount,deadline,apply_link,eligible
NSP Central Sector Scheme,Ministry of Education,All,All India,All,All,All,Undergraduate,Upto 4.5L,80-90,"Rs 12,000/year",Oct 31,https://scholarships.gov.in,1
NSP Post Matric SC Scholarship,Ministry of Social Justice,All,All India,All,SC,All,Undergraduate,Upto 2.5L,50-60,"Rs 10,000/year",Nov 30,https://scholarships.gov.in,1
NSP Post Matric ST Scholarship,Ministry of Tribal Affairs,All,All India,All,ST,All,Undergraduate,Upto 2.5L,50-60,"Rs 10,000/year",Nov 30,https://scholarships.gov.in,1
NSP OBC Post Matric,Ministry of Social Justice,All,All India,All,OBC,All,Undergraduate,Upto 1L,50-60,"Rs 8,000/year",Nov 30,https://scholarships.gov.in,1
NSP Merit cum Means Minority,Ministry of Minority Affairs,All,All India,All,Minority,All,Undergraduate,Upto 2.5L,50-60,"Rs 25,000/year",Oct 31,https://scholarships.gov.in,1
NSP Pre Matric Minority,Ministry of Minority Affairs,All,All India,All,Minority,All,Class 10,Upto 1L,50-60,"Rs 5,000/year",Sep 30,https://scholarships.gov.in,1
Begum Hazrat Mahal Scholarship,Maulana Azad Foundation,All,All India,Female,Minority,Muslim,Class 12,Upto 2L,50-60,"Rs 10,000/year",Oct 31,https://scholarships.gov.in,1
Maulana Azad Fellowship,Ministry of Minority Affairs,All,All India,All,Minority,All,PhD,No Limit,Above 75,"Rs 25,000/month",Dec 31,https://scholarships.gov.in,1
National Fellowship SC,UGC,All,All India,All,SC,All,PhD,No Limit,Above 60,"Rs 28,000/month",Dec 31,https://scholarships.gov.in,1
National Fellowship ST,UGC,All,All India,All,ST,All,PhD,No Limit,Above 60,"Rs 28,000/month",Dec 31,https://scholarships.gov.in,1
Pragati Scholarship for Girls,AICTE,Engineering,All India,Female,All,All,Undergraduate,Upto 8L,60-70,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
Saksham Scholarship Specially Abled,AICTE,Engineering,All India,All,All,All,Undergraduate,Upto 8L,60-70,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
AICTE Swanath Scholarship,AICTE,Engineering,All India,All,All,All,Undergraduate,Upto 8L,60-70,"Rs 50,000/year",Nov 30,https://scholarships.gov.in,1
AICTE Doctoral Fellowship,AICTE,Engineering,All India,All,All,All,PhD,No Limit,Above 75,"Rs 35,000/month",Dec 31,https://scholarships.gov.in,1
AICTE Research Promotion Scheme,AICTE,Engineering/Research,All India,All,All,All,PhD,No Limit,Above 75,"Rs 1,00,000/year",Jan 31,https://scholarships.gov.in,1
AICTE NDF Fellowship,AICTE,All Technical,All India,All,All,All,PhD,No Limit,Above 60,"Rs 25,000/month",Nov 30,https://scholarships.gov.in,1
Indira Gandhi Scholarship Single Girl,UGC,All,All India,Female,All,All,Postgraduate,No Limit,Above 60,"Rs 36,200/year",Dec 31,https://scholarships.gov.in,1
UGC JRF Junior Research Fellowship,UGC,Research,All India,All,All,All,PhD,No Limit,Above 75,"Rs 37,000/month",Dec 31,https://scholarships.gov.in,1
UGC SRF Senior Research Fellowship,UGC,Research,All India,All,All,All,PhD,No Limit,Above 75,"Rs 42,000/month",Dec 31,https://scholarships.gov.in,1
UGC PG Scholarship,UGC,All,All India,All,All,All,Postgraduate,No Limit,Above 60,"Rs 3,100/month",Oct 31,https://scholarships.gov.in,1
Ishan Uday North East Scholarship,UGC,All,All India,All,All,All,Undergraduate,Upto 4.5L,60-70,"Rs 54,000/year",Nov 30,https://scholarships.gov.in,1
Rajiv Gandhi National Fellowship,UGC/Ministry,All,All India,All,SC/ST,All,PhD,No Limit,Above 60,"Rs 28,000/month",Dec 31,https://scholarships.gov.in,1
INSPIRE Scholarship SHE,DST India,Science,All India,All,All,All,Undergraduate,No Limit,90-100,"Rs 80,000/year",Dec 15,https://scholarships.gov.in,1
INSPIRE Fellowship PhD,DST India,Science/Research,All India,All,All,All,PhD,No Limit,Above 75,"Rs 35,000/month",Dec 31,https://scholarships.gov.in,1
KVPY Scholarship,DST India,Science,All India,All,All,All,Undergraduate,No Limit,80-90,"Rs 80,000/year",Nov 30,https://scholarships.gov.in,1
DST SERB National Science Fellowship,DST India,Science/Engineering,All India,All,All,All,PhD,No Limit,Above 75,"Rs 2,00,000/year",Dec 31,https://scholarships.gov.in,1
Women Scientist Scheme DST,DST India,Science/Engineering,All India,Female,All,All,Postgraduate,No Limit,Above 60,"Rs 25,000/month",Mar 31,https://scholarships.gov.in,1
ICMR Junior Research Fellowship,ICMR,Medical/Biomedical,All India,All,All,All,PhD,No Limit,Above 75,"Rs 37,000/month",Dec 31,https://scholarships.gov.in,1
ICMR Senior Research Fellowship,ICMR,Medical,All India,All,All,All,PhD,No Limit,Above 75,"Rs 43,000/month",Dec 31,https://scholarships.gov.in,1
DBT JRF Biotechnology,DBT India,Biotechnology/Medical,All India,All,All,All,PhD,No Limit,Above 75,"Rs 37,000/month",Dec 31,https://scholarships.gov.in,1
CSIR JRF Research Fellowship,CSIR,Science/Medical,All India,All,All,All,PhD,No Limit,Above 75,"Rs 37,000/month",Dec 31,https://scholarships.gov.in,1
WHO India Fellowship,WHO India,Public Health/Medical,All India,All,All,All,Postgraduate,No Limit,Above 75,"Rs 60,000/year",Sep 30,https://scholarships.gov.in,1
AIIMS Research Fellowship,AIIMS,Medical,All India,All,All,All,PhD,No Limit,Above 75,"Rs 40,000/month",Mar 31,https://scholarships.gov.in,1
ICMR Extramural Research,ICMR,Medical Research,All India,All,All,All,PhD,No Limit,Above 75,"Rs 30,000/month",Dec 31,https://scholarships.gov.in,1
Government Medical Scholarship SC ST,State Medical Council,Medical,All India,All,SC/ST,All,Undergraduate,Upto 2.5L,60-70,Full Fee Waiver,Oct 31,https://scholarships.gov.in,1
NHM Health Workforce Scholarship,NHM,Medical/Nursing,All India,All,All,All,Undergraduate,Upto 3L,60-70,"Rs 60,000/year",Nov 30,https://scholarships.gov.in,1
Healthcare Scholarship for Girls,Ministry of Health,Medical/Nursing,All India,Female,All,All,Undergraduate,Upto 5L,60-70,"Rs 40,000/year",Nov 30,https://scholarships.gov.in,1
Nursing Excellence Award Scholarship,INC,Nursing,All India,All,All,All,Undergraduate,No Limit,80-90,"Rs 25,000/year",Dec 31,https://scholarships.gov.in,1
Paramedical Science Scholarship,AICTE,Medical Allied,All India,All,All,All,Diploma,Upto 5L,60-70,"Rs 30,000/year",Nov 30,https://scholarships.gov.in,1
Google Generation Scholarship India,Google,Technology/Engineering,All India,All,All,All,Undergraduate,No Limit,Above 75,"Rs 1,00,000/year",Mar 31,https://buildyourfuture.withgoogle.com,1
Microsoft Research Fellowship,Microsoft Research,Technology/CS,All India,All,All,All,PhD,No Limit,Above 75,"Rs 2,50,000/year",Dec 31,https://www.microsoft.com/en-us/research,1
